# latitude,longitude,stars,review_count,is_open
4.070154019603028672e+01,-8.164044246854020059e+01,4.500000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
4.357187623746774108e+01,-7.917512776191905743e+01,2.500000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.349947272750340233e+01,-1.119374273070164207e+02,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00
4.119625576313849535e+01,-8.922417879236910210e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
3.354319966137116182e+01,-1.119148811216752790e+02,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
5.511540219732049195e+01,1.170974514981744008e+01,3.500000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
3.352639338011595527e+01,-1.121463390062413765e+02,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
4.114860262565633064e+01,-8.165386234791031939e+01,2.500000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
3.344208812983668366e+01,-1.122584910499067092e+02,5.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+00
4.050469948604874304e+01,-8.033390130815178054e+01,4.500000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
3.614289525880559495e+01,-1.152233192930076058e+02,2.500000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.367505984079489423e+01,-1.122330047398804425e+02,4.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
3.613661261951762782e+01,-1.152453857954684793e+02,4.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
4.104533223367976547e+01,-8.039823011831518329e+01,5.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
4.372931269914754182e+01,-7.955598384783756671e+01,4.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
4.393813496245375916e+01,-7.939343121767019795e+01,4.500000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
5.072653858441934460e+01,-3.786313011046239518e-01,2.500000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00
3.335207838273736769e+01,-1.118633233924864925e+02,2.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.356857897972476934e+01,-1.122858434127217180e+02,4.500000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00
3.601178612089288578e+01,-1.151749150573248386e+02,3.500000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
4.385464909843680914e+01,-7.924049602900861089e+01,4.500000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00
4.087853185372426879e+01,-8.188066458811094606e+01,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.361500000084917872e+01,-7.908857832521995590e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
3.544066850837769067e+01,-8.088711290055904612e+01,2.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
4.074519196279827327e+01,-8.016423542103285627e+01,3.500000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
5.099175550859465034e+01,1.769843391997017124e+00,5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
4.154549644488572113e+01,-8.116415762985073457e+01,5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00
4.179558417722114427e+01,-8.896744950730027313e+01,4.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000000e+00
4.070364537364159219e+01,-8.241712428803883483e+01,3.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
3.604872502371060250e+01,-1.153017530122345136e+02,1.500000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00
4.356102497388583572e+01,-7.912325745749116379e+01,3.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
4.788099307788884573e+01,-1.879492735915333501e+00,2.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.346511848723229576e+01,-1.123659455511553773e+02,3.500000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
3.328011446434506837e+01,-1.118435657094392610e+02,5.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
3.526506325888995264e+01,-8.061166797239977200e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
4.023563679156569606e+01,-7.960873116927307080e+01,1.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
3.510530425128909826e+01,-8.067759804334350804e+01,3.500000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
3.612063438022016726e+01,-1.149625062486266671e+02,5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
5.249683450840813492e+01,6.164358108500722189e+00,4.500000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
3.530053095090553228e+01,-8.087301695128948609e+01,5.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
4.171111100099001590e+01,-8.063866270136996661e+01,4.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
